title,mal_id,url,image,synopsis,title_english,title_japanese,title_synonyms,genres_1,genres_2,genres_3,genres_4,genres_5,explicit_genres_1,explicit_genres_2,explicit_genres_3,explicit_genres_4,explicit_genres_5,demographics_1,demographics_2,demographics_3,themes_1,themes_2,themes_3,genres_6,genres_7,genres_8,themes_4,combined_title
Boku to Kimi no Taisetsu na Hanashi,91767,https://myanimelist.net/manga/91767/Boku_to_Kimi_no_Taisetsu_na_Hanashi,https://cdn.myanimelist.net/images/manga/3/174432.jpg?s=241b39ae4264d55aeffd7243500fdeca,"After Nozomi Aizawa follows her crush, Shirou Azuma, from school all the way to the train station, she finally musters the courage to confess to him. Instead of being a romantic moment, she receives a...",Our Precious Conversations,僕と君の大切な話,/An Important Talk Between You and Me/The precious talk of me and you/Miracle☆Gift,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,School,nil,nil,,,,,Boku to Kimi no Taisetsu na Hanashi/Our Precious Conversations/僕と君の大切な話/An Important Talk Between You and Me/The precious talk of me and you/Miracle☆Gift
Cirque Arachne,34525,https://myanimelist.net/manga/34525/Cirque_Arachne,https://cdn.myanimelist.net/images/manga/2/86343.jpg?s=e122be205bdd3b853da2b81f00c98143,"Teti joins the Cirque Arachne, a troupe of acrobats, and finds herself captivated by one member in particular...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Cirque Arachne
Eden: It's an Endless World!,731,https://myanimelist.net/manga/731/Eden__Its_an_Endless_World,https://cdn.myanimelist.net/images/manga/2/63117.jpg?s=4428135143fd42bc1fe584a93e269ca3,"In the panic surrounding a worldwide pandemic which kills 15 percent of the population and cripples many more, a secret organization, the Propater, topples the UN and seizes control of much of the wor...",Eden: It's an Endless World!,EDEN ～It's an Endless World!～,nil,Action,Drama,Sci-Fi,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Psychological,nil,nil,,,,,Eden: It's an Endless World!/EDEN ～It's an Endless World!～
Hananoi-kun to Koi no Yamai,111953,https://myanimelist.net/manga/111953/Hananoi-kun_to_Koi_no_Yamai,https://cdn.myanimelist.net/images/manga/2/209999.jpg?s=a47047cc2bace1c4af9e8da6cc086ae2,"Hotaru Hinase is a first-year high school student who treasures her family and friends above all else. Unable to understand romance, she decides she will be content living without the experience of fa...",A Condition Called Love,花野井くんと恋の病,/I'm Addicted to You.,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,School,nil,nil,,,,,Hananoi-kun to Koi no Yamai/A Condition Called Love/花野井くんと恋の病/I'm Addicted to You.
Hidamari ga Kikoeru,84255,https://myanimelist.net/manga/84255/Hidamari_ga_Kikoeru,https://cdn.myanimelist.net/images/manga/1/186753.jpg?s=e7988ae6a6cca30861069e21670c0eda,"Kouhei Sugihara lives in a world of total isolation due to him being hard-of-hearing. However, when the loud and boisterous Taichi Sagawa comes into his life, Kouhei discovers that Taichi's voice alon...",I Hear the Sunspot,ひだまりが聴こえる,nil,Boys Love,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,,Hidamari ga Kikoeru/I Hear the Sunspot/ひだまりが聴こえる
Koimonogatari,92252,https://myanimelist.net/manga/92252/Koimonogatari,https://cdn.myanimelist.net/images/manga/2/211855.jpg?s=d78290068becd2e36e6dc7098d14faeb,"In the spring of their high school days, Yuiji Hasegawa suspects that his kind but quiet classmate, Yamato Yoshinaga, has feelings for his straight best friend, Kyousuke Hongou. Ending up in the same...",Koimonogatari: Love Stories,こいものがたり,/Love Stories,Boys Love,Drama,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,,Koimonogatari/Koimonogatari: Love Stories/こいものがたり/Love Stories
Koroshi Ai,104710,https://myanimelist.net/manga/104710/Koroshi_Ai,https://cdn.myanimelist.net/images/manga/2/192048.jpg?s=6e77b62bd71eca4e6a741dea17f59f2d,"The silent and stoic Chateau Dankworth is a bounty hunter. Her target: Song Ryang-ha, a notorious killer known for killing 18 high-class officials in a single night. To this day, his murders remain sw...",Love of Kill,殺し愛,nil,Action,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Josei,nil,nil,nil,nil,nil,,,,,Koroshi Ai/Love of Kill/殺し愛
Magnet na Watashitachi,50967,https://myanimelist.net/manga/50967/Magnet_na_Watashitachi,https://cdn.myanimelist.net/images/manga/3/142529.jpg?s=950882ee5c3cadc744c2a873d51f8e4e,"Tsumugi has a niece who goes to kindergarten. For various reasons, many times it's up to Tsumugi to pick her up after school. One day, just outside the entrance she notices her own classmate, Uchimura...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Magnet na Watashitachi
Mousou Telepathy,101711,https://myanimelist.net/manga/101711/Mousou_Telepathy,https://cdn.myanimelist.net/images/manga/3/187031.jpg?s=337b046d51441e02d70dbdf7c4a3533b,"One would think that the ability to read minds would be incredible, but for Ayako Nakano, it is an involuntary power she wishes she never had. Being exposed to the harsh thoughts of others is one thin...",nil,妄想テレパシー,/Delusion Telepathy/Moutele,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,Super Power,nil,,,,,Mousou Telepathy/妄想テレパシー/Delusion Telepathy/Moutele
Murciélago,65705,https://myanimelist.net/manga/65705/Murciélago,https://cdn.myanimelist.net/images/manga/1/123541.jpg?s=e8ccbda0631ba9d6b3c630205a29c70f,"For those who've killed as much as Kuroko Koumori, there is no doubt that they've lost their sanity. In fact, by proving that she is still sane even after killing as many as 715 people, Kuroko avoids...",Murciélago,MURCIÉLAGO,/Murcielago,Action,Girls Love,Horror,Erotica,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,,Murciélago/MURCIÉLAGO/Murcielago
Nettaigyo wa Yuki ni Kogareru,109909,https://myanimelist.net/manga/109909/Nettaigyo_wa_Yuki_ni_Kogareru,https://cdn.myanimelist.net/images/manga/2/248056.jpg?s=7cbe7cd42e78d49e00f1e61ac702d748,"After her father traveled overseas for work, Konatsu Amano moved to Iyo-Nagahama to live with her aunt. On the way to her aunt's house, she gets dragged into her new high school's aquarium open house....",A Tropical Fish Yearns for Snow,熱帯魚は雪に焦がれる,nil,Girls Love,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,School,nil,nil,,,,,Nettaigyo wa Yuki ni Kogareru/A Tropical Fish Yearns for Snow/熱帯魚は雪に焦がれる
"Ohayou, Ibarahime",88639,https://myanimelist.net/manga/88639/Ohayou_Ibarahime,https://cdn.myanimelist.net/images/manga/3/164641.jpg?s=f8cd120c2961f840da3ea877b0c9768d,"Timid but hard-working high schooler Tetsu Misato takes up a job at his father's housekeeping agency, where he finds himself working at the mansion on the hill he always saw as a child. Deep in the ba...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,"Ohayou, Ibarahime"
Otoyomegatari,11514,https://myanimelist.net/manga/11514/Otoyomegatari,https://cdn.myanimelist.net/images/manga/2/188950.jpg?s=2792219ba9a6c742efa52128e09d8bee,"It's the 19th century in a tribal town near the Caspian Sea, Central Asia. People lead simple lives along the Silk Road, believing in various customs and traditions as they have for many years. Amir H...",A Bride's Story,乙嫁語り,/Young Bride's Story/Otoyome-gatari/The Bride's Stories/Pariya-san wa Otoshigoro,Drama,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Historical,nil,nil,,,,,Otoyomegatari/A Bride's Story/乙嫁語り/Young Bride's Story/Otoyome-gatari/The Bride's Stories/Pariya-san wa Otoshigoro
Raise wa Tanin ga Ii,109229,https://myanimelist.net/manga/109229/Raise_wa_Tanin_ga_Ii,https://cdn.myanimelist.net/images/manga/2/203176.jpg?s=0d48406906065997702af2def5ae5181,"Yoshino Somei would have been a normal high-schooler if not for the fact that she is the granddaughter of the leader of the Osaka-based Somei Group, the Kansai region's largest yakuza organization. On...",nil,来世は他人がいい,nil,Drama,nil,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,School,nil,nil,,,,,Raise wa Tanin ga Ii/来世は他人がいい
Somali to Mori no Kamisama,95452,https://myanimelist.net/manga/95452/Somali_to_Mori_no_Kamisama,https://cdn.myanimelist.net/images/manga/1/171808.jpg?s=dd052bfadc37683b320428d46e120498,"The human race has been hunted to near extinction, leaving the world ridden with all sorts of curious and mysterious creatures. In the middle of a forest, a lone Golem comes across ""it"": a dishevelled...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Somali to Mori no Kamisama
Taishou Otome Otogibanashi,96044,https://myanimelist.net/manga/96044/Taishou_Otome_Otogibanashi,https://cdn.myanimelist.net/images/manga/2/173765.jpg?s=f9b0972c77c53bb1f2955d8c0fcc580b,"Tamahiko Shima is the youngest son of the powerful and wealthy Shima family. Blessed with great fortune since his childhood, he grew up wanting nothing but affection from his oftentimes distant family...",nil,大正処女御伽話,/Taishou Maiden Fairytale,Comedy,Romance,Slice of Life,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Historical,nil,nil,,,,,Taishou Otome Otogibanashi/大正処女御伽話/Taishou Maiden Fairytale
Tatoe Todokanu Ito da toshitemo,103123,https://myanimelist.net/manga/103123/Tatoe_Todokanu_Ito_da_toshitemo,https://cdn.myanimelist.net/images/manga/3/196507.jpg?s=2c334d5b3b45a0429f8ca9a815876682,"Uta Naruse's first love moved beyond her reach before she could fully realize her feelings. Kaoru, her childhood friend and the object of her affection, married Uta's brother, Reiichi. Due to some dif...",If I Could Reach You,たとえとどかぬ糸だとしても,/This Love That Won't Reach/Secret Crush on my Sister,Drama,Girls Love,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Tatoe Todokanu Ito da toshitemo/If I Could Reach You/たとえとどかぬ糸だとしても/This Love That Won't Reach/Secret Crush on my Sister
Teppuu,11366,https://myanimelist.net/manga/11366/Teppuu,https://cdn.myanimelist.net/images/manga/2/159802.jpg?s=614af7db3bf33c7bd953dbde6fb98dfa,"Perpetually bored, Natsuo Ishidou has been physically adept for as long as she can remember. Her ability to almost instantly pick up any kind of sport has left her constantly searching for any kind of...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Teppuu
Tongari Boushi no Atelier,100035,https://myanimelist.net/manga/100035/Tongari_Boushi_no_Atelier,https://cdn.myanimelist.net/images/manga/3/190005.jpg?s=666ebeb516a2ad2d94fbd9e1be0483a1,"Coco, a humble dressmaker's daughter, has always been fascinated by magic and the witches who cast it, despite the strict precautions they take to hide their methods from the public. However, when Coc...",Witch Hat Atelier,とんがり帽子のアトリエ,/Atelier of Witch Hat,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,,Tongari Boushi no Atelier/Witch Hat Atelier/とんがり帽子のアトリエ/Atelier of Witch Hat
Transparent Cohabitation,112382,https://myanimelist.net/manga/112382/Transparent_Cohabitation,https://cdn.myanimelist.net/images/manga/1/206317.jpg?s=12abe029ef0f4fc73690fc3a6ceb371e,"Although she never asked for it, 27-year-old So Yeori possesses the extraordinary ability to communicate with ghosts. She has always considered it a burden rather than a gift and always passes spirits...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Transparent Cohabitation
1-en no Otoko,21227,https://myanimelist.net/manga/21227/1-en_no_Otoko,https://cdn.myanimelist.net/images/manga/1/34156.jpg?s=bf884ba045095911a77c43fac5d8ad7a,A very rude but good looking banker named Ryo Maskai seeks the help of poor detective Keisuke Sanjo. This is the first client that he has seen in a very long time...what could he need? (Source: Nakama...,Man of 1 Yen,1円の男,/Ichien no Otoko,Boys Love,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,1-en no Otoko/Man of 1 Yen/1円の男/Ichien no Otoko
50 x 50,10260,https://myanimelist.net/manga/10260/50_x_50,https://cdn.myanimelist.net/images/manga/4/34181.jpg?s=c40e15728f0ae39e239c0a03b3cea5d7,"Kawanishi Wataru and Higashino Shuzou have known each other for 10 years. They both work at the same company, and they both hate each other, thinking the other is competition. One day, out of the blue...",nil,フィフティXフィフティ,/Fifty x Fifty/50x50,Boys Love,Comedy,Slice of Life,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,50 x 50/フィフティXフィフティ/Fifty x Fifty/50x50
Ai no Kotoba mo Shiranaide,7561,https://myanimelist.net/manga/7561/Ai_no_Kotoba_mo_Shiranaide,https://cdn.myanimelist.net/images/manga/3/10326.jpg?s=943e6d76f702fd793ad763386b106c52,"Kojima, the Vice President of the Student Body, always strives to be on the #1 spot in school. He normally gets along with the carefree Kurata… until one day Kojima snaps and forces Kurata to have sex...",nil,愛の言葉も知らないで,/Ai no Kotoba mo Shiranai de/I Don't Even Know the Word of Love,Boys Love,Comedy,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,,Ai no Kotoba mo Shiranaide/愛の言葉も知らないで/Ai no Kotoba mo Shiranai de/I Don't Even Know the Word of Love
Akanai Tobira,5095,https://myanimelist.net/manga/5095/Akanai_Tobira,https://cdn.myanimelist.net/images/manga/1/81906.jpg?s=a37c6d7d53d654c7daccc1a6a8d8033e,1-2. The Door to the Closed Mind 3. The Ugly Duckling and the Prince 4. The Prince's Sweetheart 5. It's Lonely When You're Cold,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Akanai Tobira
Ake Nure Goyou ni Furu Yuki wa,15159,https://myanimelist.net/manga/15159/Ake_Nure_Goyou_ni_Furu_Yuki_wa,https://cdn.myanimelist.net/images/manga/2/81908.jpg?s=7d37979d4d014317e09c73be46f2e13f,"Kazuma, a yakuza, is shot and saved by the heir of a tea ceremony family, Shibata Yukihiro. Yukihiro,the illegitimate son, never allowed himself to ask for anything. Kazuma is the only one that Yukihi...",Crimson Snow,朱濡れ五葉に降る霜雪は,nil,Boys Love,Drama,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Ake Nure Goyou ni Furu Yuki wa/Crimson Snow/朱濡れ五葉に降る霜雪は
Akuma no Himitsu♥,2126,https://myanimelist.net/manga/2126/Akuma_no_Himitsu♥,https://cdn.myanimelist.net/images/manga/2/2323.jpg?s=3121d2c4eb91fc2d60961b6e6a339ce9,1. Akuma no Sasayaki (Demon's Whispers) 2. Akuma no Himitsu (The Demon's Secret) 3. Muda na Koto Shimasho! 4. Yuki ga Kuru Mae ni (Before Winter Comes) 5. Akuma-tachi no Himitsu,The Devil's Secret,アクマのひみつ♥,/The Demon's Secret/Demon's Whispers/Muda na Koto Shimashou!/Before Winter Comes/Akuma-tachi no Himitsu,Boys Love,Fantasy,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Akuma no Himitsu♥/The Devil's Secret/アクマのひみつ♥/The Demon's Secret/Demon's Whispers/Muda na Koto Shimashou!/Before Winter Comes/Akuma-tachi no Himitsu
Ayeshah's Secret,93350,https://myanimelist.net/manga/93350/Ayeshahs_Secret,https://cdn.myanimelist.net/images/manga/2/164927.jpg?s=9198f8d0aa7afe4e45c0e9797d688dc3,A tragic young girl whose mother died giving birth to her? A wicked stepmother and three brothers with whom she shares no blood ties? Murderous intent born from avarice and twisted emotions. Secrets w...,nil,艾莎的森林,/Ayeshah's Forest,Drama,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Ayeshah's Secret/艾莎的森林/Ayeshah's Forest
Bara to Dangan,20714,https://myanimelist.net/manga/20714/Bara_to_Dangan,https://cdn.myanimelist.net/images/manga/3/82052.jpg?s=dc88c307b1bf31a6c104182d4f492681,"Ten years ago, Nachi and Iori were adopted by a government official. Now they work under him as bodyguards in the Secret Protection Agency ""Shelter."" However, despite all this shared history, the two...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Bara to Dangan
Beastars,103701,https://myanimelist.net/manga/103701/Beastars,https://cdn.myanimelist.net/images/manga/2/189832.jpg?s=5ddd38161f6d87e673aaf78dc7bc7ec4,"In a world populated by anthropomorphic animals, there exists a bias: carnivores are just mindless predators in the eyes of many herbivores. However, when an alpaca named Tem is murdered within the wa...",Beastars,BEASTARS,nil,Drama,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Psychological,nil,nil,,,,,Beastars/BEASTARS
Bitter: Kare no Hisoyaka na Seppun,2055,https://myanimelist.net/manga/2055/Bitter__Kare_no_Hisoyaka_na_Seppun,https://cdn.myanimelist.net/images/manga/3/30157.jpg?s=380c88d419ef42717ed73234c3716ec2,"For Hasunobe Yoshitomo, co-heir and general manager of the first-class Royal Fort hotel chain, life is pretty sweet. The only bitter pill is dealing with the rival hotel chain that recently opened nea...",BITTER: His Clandestine Kiss,BITTER ～彼の密やかな接吻～,nil,Boys Love,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Bitter: Kare no Hisoyaka na Seppun/BITTER: His Clandestine Kiss/BITTER ～彼の密やかな接吻～
Bokura wa Sore wo Hitei Dekinai,29975,https://myanimelist.net/manga/29975/Bokura_wa_Sore_wo_Hitei_Dekinai,https://cdn.myanimelist.net/images/manga/1/88619.jpg?s=f123b3f7361c75dbe75d2336e220d8fc,1-2. Bokura wa Sore wo Hitei Dekinai 3. Sono Te kara Tsutawaru 4. Bokura no Ashita no Houteishiki,nil,僕らはそれを否定できない,/The Equation of Our Future/Bokura wa Sore o Hitei Dekinai/Bokura no Ashita no Houteishiki/Sono Te kara Tsutawaru,Boys Love,Drama,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,,Bokura wa Sore wo Hitei Dekinai/僕らはそれを否定できない/The Equation of Our Future/Bokura wa Sore o Hitei Dekinai/Bokura no Ashita no Houteishiki/Sono Te kara Tsutawaru
Bousou♥Kareshi,18111,https://myanimelist.net/manga/18111/Bousou♥Kareshi,https://cdn.myanimelist.net/images/manga/3/170551.jpg?s=fbe67ec55094004e5cd846b9b8c0faad,"My super strong classmate, Ran, is my cute lover. We are so in love! Or that's how it's supposed to be. I think he's cheating on me! Bousou Kareshi features many other stories. Included is Keitachi's...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Bousou♥Kareshi
Calling,15094,https://myanimelist.net/manga/15094/Calling,https://cdn.myanimelist.net/images/manga/3/21914.jpg?s=e4cfdf2dbcc3b27b9158d8e251f8d58b,"Kazuaki's life is so ordinary and dull, he just can't tell the difference between one day and another. But one night, by total accident, he witnesses a rather embarrassing situation, which unexpectedl...",Calling,コーリング,nil,Boys Love,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Calling/コーリング
Chuchun ga Chun,18763,https://myanimelist.net/manga/18763/Chuchun_ga_Chun,https://cdn.myanimelist.net/images/manga/3/130129.jpg?s=35cf41645bd08ddc92f10b140e4b88fb,"Baseball player Daisuke Ootaka attends Torioka University, the alma mater of his late grandfather, in order to honor the man's memory as well as continue to pursue his sport. He is surprised when he d...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Chuchun ga Chun
Code Name wa Sailor V,854,https://myanimelist.net/manga/854/Code_Name_wa_Sailor_V,https://cdn.myanimelist.net/images/manga/3/6602.jpg?s=e95c688ece4500a68488956e43885ee8,"""The Pretty Guardian in a Sailor Suit! Sailor Venus has arrived!"" 13-year-old Minako Aino is an active tomboy who loves idols and video games, and is a popular member of Shiba Koen Junior High School'...",Sailor V,コードネームはセーラーV,/Codename Sailor V/Codename Is Sailor V/Codename wa Sailor V,Action,Adventure,Comedy,Drama,Fantasy,nil,nil,nil,nil,nil,Shoujo,nil,nil,nil,nil,nil,Romance,,,,Code Name wa Sailor V/Sailor V/コードネームはセーラーV/Codename Sailor V/Codename Is Sailor V/Codename wa Sailor V
Colorful Line,78073,https://myanimelist.net/manga/78073/Colorful_Line,https://cdn.myanimelist.net/images/manga/1/135227.jpg?s=f19ba1d7e26f626b4fd562b1c120b20f,"Shousuke always takes the role to comfort his best friend, Tomoki, who tends to fall in love and then gets dumped several times. One day, Shousuke was drinking with Tomoki and was listening to his whi...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Colorful Line
Complex,3124,https://myanimelist.net/manga/3124/Complex,https://cdn.myanimelist.net/images/manga/1/186460.jpg?s=51a542df0e0a4e3f54c6f376c7ff78ba,"Rin is tomboyish 14-year-old who lives with her grandpa in a small village out in the countryside. After her grandpa's death, Rin is obligated to leave her village to live with her mother in Tokyo. Wh...",nil,COMPLEX,nil,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,nil,nil,nil,,,,,Complex/COMPLEX
Jujutsu Kaisen,113138,https://myanimelist.net/manga/113138/Jujutsu_Kaisen,https://cdn.myanimelist.net/images/manga/3/210341.jpg?s=de72e44283fecf6cc443b4d3cdc92df8,"Hidden in plain sight, an age-old conflict rages on. Supernatural monsters known as ""Curses"" terrorize humanity from the shadows, and powerful humans known as ""Jujutsu"" sorcerers use mystical arts to...",Jujutsu Kaisen,呪術廻戦,/Sorcery Fight,Action,Fantasy,Supernatural,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Demons,nil,nil,,,,,Jujutsu Kaisen/呪術廻戦/Sorcery Fight
Bungou Stray Dogs,56529,https://myanimelist.net/manga/56529/Bungou_Stray_Dogs,https://cdn.myanimelist.net/images/manga/2/100769.jpg?s=0d7934c684e9623fcbffc0b1f5c66e19,"Atsushi Nakajima is on the brink of death after being kicked out of his orphanage. With no food and nowhere to go, all hope seems lost—until he saves a mysterious man called Osamu Dazai from drowning....",Bungo Stray Dogs,文豪ストレイドッグス,nil,Action,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,,Bungou Stray Dogs/Bungo Stray Dogs/文豪ストレイドッグス
InuYasha,676,https://myanimelist.net/manga/676/InuYasha,https://cdn.myanimelist.net/images/manga/1/32468.jpg?s=4dcb0285c31accefabbe68fc4ed26456,"Kagome Higurashi's ordinary life comes to an abrupt halt when a demon drags her deep into a well, transporting her five hundred years into the past. In this era, Kagome quickly learns two things: demo...",InuYasha,犬夜叉,/Inu-Yasha/Inu Yasha,Adventure,Comedy,Drama,Fantasy,Romance,nil,nil,nil,nil,nil,Shounen,nil,nil,Demons,Historical,nil,Supernatural,,,,InuYasha/犬夜叉/Inu-Yasha/Inu Yasha
Omniscient Reader,132214,https://myanimelist.net/manga/132214/Omniscient_Reader,https://cdn.myanimelist.net/images/manga/2/238873.jpg?s=5156aa1a364df368968986ea576dee83,"Kim Dokja does not consider himself the protagonist of his own life. Befitting the name his parents gave him, he is a solitary person whose sole hobby is reading web novels. For over a decade, he has...",Omniscient Reader,전지적 독자 시점,/Omniscient Reader's Viewpoint/Jeonji-jeok Dokja Sijeom,Action,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Omniscient Reader/전지적 독자 시점/Omniscient Reader's Viewpoint/Jeonji-jeok Dokja Sijeom
"""Kare"" First Love",682,https://myanimelist.net/manga/682/Kare_First_Love,https://cdn.myanimelist.net/images/manga/2/160944.jpg?s=879af1e3d07d5a270c801694d6716b74,"Coy and self-conscious high school student Karin Karino never paid much attention to boys until she met Kiriya, a popular student from a nearby boys' school. Karin and Kiriya embark on a romantic jour...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,"""Kare"" First Love"
07-Ghost,1349,https://myanimelist.net/manga/1349/07-Ghost,https://cdn.myanimelist.net/images/manga/2/21417.jpg?s=090644f77f731253e73b04c9fc9fca74,"The students of the Barsburg Empire's Military Academy are trained to become capable fighters who will serve as the empire's newest soldiers. Every year, five hundred students take a graduation exam,...",07-Ghost,07-GHOST,/7 Ghosts/Seven Ghosts,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,Josei,nil,nil,Demons,Military,nil,,,,,07-Ghost/07-GHOST/7 Ghosts/Seven Ghosts
3x3 Eyes,662,https://myanimelist.net/manga/662/3x3_Eyes,https://cdn.myanimelist.net/images/manga/3/148693.jpg?s=b079fd072affc31b3e64d1153baf0a2f,"Through a strange series of events, a young man named Yakumo Fuuji becomes the immortal slave of the last of a race of 3 Eyed immortals. The immortal, Pai, absorbs his soul to save his life, making hi...",3x3 Eyes,3×3 EYES,/Sazan Eyes,Action,Adventure,Drama,Fantasy,Supernatural,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,,3x3 Eyes/3×3 EYES/Sazan Eyes
Again!!,35013,https://myanimelist.net/manga/35013/Again,https://cdn.myanimelist.net/images/manga/2/201817.jpg?s=620eb32335dc2ffdd789b880cd6b0ba9,"He has blonde hair, menacing eyes, and a threatening demeanor—but third-year high school student Kinichirou Imamura is not a delinquent. Feared and friendless, he is also the reason that both he and f...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Again!!
Ai yori Aoshi,75,https://myanimelist.net/manga/75/Ai_yori_Aoshi,https://cdn.myanimelist.net/images/manga/3/184631.jpg?s=cba8097707592fedea028936ae012e40,"Despite her family's protests, Aoi Sakuraba decides that she is going to marry Kaoru Hanabishi, her love of eighteen years. Once he realizes that her intentions are genuine, and that she's not just tr...",Ai yori Aoshi,藍より青し,/Bluer than Indigo,Comedy,Drama,Romance,Ecchi,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Harem,nil,nil,,,,,Ai yori Aoshi/藍より青し/Bluer than Indigo
Aiki,3033,https://myanimelist.net/manga/3033/Aiki,https://cdn.myanimelist.net/images/manga/3/52449.jpg?s=50fcb66eb1390d8d4c00937aa14f88b1,There is fighting at the high school due to a power struggle for control. The granddaughter of the chief director requests help from the Aikido fighting style genius. Will he help? Or will he show his...,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Aiki
AKB49: Renai Kinshi Jourei,23052,https://myanimelist.net/manga/23052/AKB49__Renai_Kinshi_Jourei,https://cdn.myanimelist.net/images/manga/2/167252.jpg?s=a5611cea8c1b59446e9ea314300afeba,"People everywhere admire the popular idol group AKB48, and Hiroko Yoshinaga is no different. She dreams of becoming a member of AKB48, but stage fright gets in the way of every audition. Having failed...",nil,AKB49〜恋愛禁止条例〜,/AKB49: The Rules Against Love,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Gender Bender,Music,School,,,,,AKB49: Renai Kinshi Jourei/AKB49〜恋愛禁止条例〜/AKB49: The Rules Against Love
